,Model,Best_model_params,RMSE,R2,Top_20_genes_pc1
16-beta-bromoandrosterone,GradientBoostingRegressor,"{'learning_rate': 0.01, 'n_estimators': 100}",0.9668442587825354,0.0703282346849825,"['MT-CO2', 'MT-CO1', 'MT-RNR2', 'MT-ND2', 'MT-CYB', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'hsa-mir-6723', 'MT-RNR1', 'MTND2P28', 'KRT19', 'AC107016.2', 'KRT17', 'KRT18', 'KRT8', 'KRT5', 'AC107016.1', 'LCN2']"
"1S,3R-RSL-3",CatBoostRegressor,"{'depth': 6, 'iterations': 100, 'learning_rate': 0.05}",2.9516302658647073,0.10692990744238517,"['MT-CO2', 'MT-CO1', 'MT-RNR2', 'MT-CYB', 'MT-ND2', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'hsa-mir-6723', 'MT-RNR1', 'MTND2P28', 'KRT19', 'AC107016.2', 'KRT17', 'KRT5', 'KRT8', 'KRT18', 'KRT6A', 'KRT14']"
3-Cl-AHPC,Ridge,{'alpha': 100.0},1.5770095295085134,0.1317323417076165,"['MT-CO2', 'MT-CO1', 'MT-RNR2', 'MT-CYB', 'MT-ND2', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'hsa-mir-6723', 'MT-RNR1', 'MTND2P28', 'KRT19', 'KRT17', 'AC107016.2', 'KRT5', 'KRT14', 'LCN2', 'KRT18', 'KRT6A']"
968,SVR,"{'C': 0.001, 'kernel': 'rbf'}",1.1840246601459887,-0.1644441555357654,"['MT-CO2', 'MT-CO1', 'MT-RNR2', 'MT-ND2', 'MT-CYB', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'MT-RNR1', 'hsa-mir-6723', 'MTND2P28', 'KRT19', 'RP5-857K21.7', 'MTND1P23', 'MMP7', 'SPINT2', 'GSTP1', 'KRT17', 'CD24P4']"
A-804598,RandomForestRegressor,"{'max_depth': 3, 'n_estimators': 100}",0.8912431320804637,0.014475475191430554,"['MT-CO2', 'MT-CO1', 'MT-RNR2', 'MT-CYB', 'MT-ND2', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'hsa-mir-6723', 'MT-RNR1', 'MTND2P28', 'KRT19', 'AC107016.2', 'KRT17', 'KRT8', 'KRT14', 'KRT5', 'KRT18', 'KRT6A']"
AA-COCF3,ElasticNet,"{'alpha': 0.1, 'l1_ratio': 0.5}",1.9248346840673316,0.04364041837643684,"['MT-CO2', 'MT-CO1', 'MT-RNR2', 'MT-CYB', 'MT-ND2', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'hsa-mir-6723', 'MT-RNR1', 'MTND2P28', 'KRT19', 'KRT17', 'KRT5', 'AC107016.2', 'KRT14', 'KRT6A', 'KRT18', 'KRT8']"
ABT-199,CatBoostRegressor,"{'depth': 8, 'iterations': 100, 'learning_rate': 0.05}",2.211651517797609,0.2896370420261418,"['MT-CO1', 'MT-CO2', 'MT-RNR2', 'MT-ND2', 'MT-CYB', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'hsa-mir-6723', 'MT-RNR1', 'MTND2P28', 'AC107016.2', 'KRT14', 'KRT5', 'KRT8', 'KRT18', 'KRT19', 'AC107016.1', 'KRT17']"
ABT-737,CatBoostRegressor,"{'depth': 6, 'iterations': 100, 'learning_rate': 0.05}",2.127549140174316,0.09767704457227722,"['MT-CO2', 'MT-CO1', 'MT-RNR2', 'MT-ND2', 'MT-CYB', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'hsa-mir-6723', 'MT-RNR1', 'MTND2P28', 'KRT19', 'KRT5', 'KRT17', 'FTH1', 'KRT14', 'KRT6A', 'AC107016.2', 'MTND1P23']"
AC55649,SVR,"{'C': 0.1, 'kernel': 'rbf'}",0.8902383366968898,-0.045476163057567964,"['MT-CO2', 'MT-CO1', 'MT-RNR2', 'MT-CYB', 'MT-ND2', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'hsa-mir-6723', 'MT-RNR1', 'MTND2P28', 'AC107016.2', 'KRT17', 'KRT19', 'KRT5', 'KRT18', 'KRT8', 'KRT14', 'MT-TS1']"
AGK-2,ElasticNet,"{'alpha': 1.0, 'l1_ratio': 0.1}",1.095549146750833,-0.04455146507802388,"['MT-CO2', 'MT-CO1', 'MT-RNR2', 'MT-ND2', 'MT-CYB', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'hsa-mir-6723', 'MT-RNR1', 'MTND2P28', 'KRT19', 'AC107016.2', 'KRT17', 'KRT8', 'KRT18', 'KRT5', 'KRT6A', 'LCN2']"
